"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20230101 ~ 20231231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 영등포구"
"읍면동 : 여의도동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","141.75","202301","5","225,000","1","1978","여의나루로 7","","20230421","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","202303","21","188,000","5","1978","여의나루로 7",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","139.14","202304","14","237,500","6","1978","여의나루로 7","","20230630","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","202304","25","183,000","6","1978","여의나루로 7",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","139.14","202305","9","233,000","3","1978","여의나루로 7","","20230705","중개거래","서울 영등포구, 서울 은평구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","183.27","202305","26","285,000","4","1978","여의나루로 7",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","150.71","202305","26","250,000","5","1978","여의나루로 7",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","184.1","202306","2","285,000","4","1978","여의나루로 7","","20230721","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","184.1","202307","6","297,000","7","1978","여의나루로 7",""," ","중개거래","서울 양천구, 서울 영등포구"
"서울특별시 영등포구 여의도동","38-1","0038","0001","광장(1,2동)","117.05","202305","25","200,000","13","1978","여의나루로 12",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","202305","22","176,000","10","1975","국제금융로7길 20","","20230714","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","202305","25","167,000","1","1975","국제금융로7길 20",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","202306","23","200,000","9","1975","국제금융로7길 20",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","151.74","202307","21","296,000","9","1975","국제금융로7길 20",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","48","0048","0000","대우트럼프월드II","163.87","202302","7","225,000","24","2003","여의동로 97","","20230210","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","48","0048","0000","대우트럼프월드II","143.61","202306","30","215,000","20","2003","여의동로 97",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","55-1","0055","0001","대우트럼프월드Ⅰ","152.62","202302","25","186,000","18","2002","여의동로 143",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","55-1","0055","0001","대우트럼프월드Ⅰ","152.62","202303","27","185,000","14","2002","여의동로 143","20230419"," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","55-1","0055","0001","대우트럼프월드Ⅰ","152.62","202303","27","185,000","14","2002","여의동로 143","","20230630","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","55-1","0055","0001","대우트럼프월드Ⅰ","152.62","202305","3","223,000","30","2002","여의동로 143",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","55-1","0055","0001","대우트럼프월드Ⅰ","33.71","202305","16","44,000","5","2002","여의동로 143",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","55-1","0055","0001","대우트럼프월드Ⅰ","152.62","202306","19","230,000","12","2002","여의동로 143",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","43-4","0043","0004","롯데캐슬아이비","150.8","202301","9","180,000","11","2005","국제금융로 86","","20230228","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","43-4","0043","0004","롯데캐슬아이비","150.8","202302","21","194,000","21","2005","국제금융로 86",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","43-4","0043","0004","롯데캐슬아이비","113.59","202303","17","158,000","5","2005","국제금융로 86",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","43-4","0043","0004","롯데캐슬아이비","137.09","202303","30","184,000","18","2005","국제금융로 86",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","43-4","0043","0004","롯데캐슬아이비","103.86","202304","13","160,000","11","2005","국제금융로 86","","20230707","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","43-4","0043","0004","롯데캐슬아이비","150.8","202305","13","200,000","7","2005","국제금융로 86","","20230616","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","43-4","0043","0004","롯데캐슬아이비","103.86","202306","2","190,000","25","2005","국제금융로 86",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","43-4","0043","0004","롯데캐슬아이비","137.09","202306","19","210,000","22","2005","국제금융로 86",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","36","0036","0000","롯데캐슬엠파이어","199.46","202302","20","231,000","31","2005","의사당대로 127","","20230222","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","36","0036","0000","롯데캐슬엠파이어","147.8","202303","5","187,500","10","2005","의사당대로 127",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","36","0036","0000","롯데캐슬엠파이어","193.8","202305","30","245,000","39","2005","의사당대로 127","","20230531","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","36","0036","0000","롯데캐슬엠파이어","163.86","202307","6","220,000","16","2005","의사당대로 127",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","61-5","0061","0005","리버타워","234.02","202303","27","151,000","13","2000","63로 36","","20230329","직거래","-"
"서울특별시 영등포구 여의도동","61","0061","0000","리첸시아","146.68","202302","16","215,000","11","2003","여의동로 213","","20230217","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","61","0061","0000","리첸시아","164.86","202304","21","245,000","16","2003","여의동로 213",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","61","0061","0000","리첸시아","137.82","202305","23","167,500","20","2003","여의동로 213",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","61","0061","0000","리첸시아","119.21","202306","21","200,000","15","2003","여의동로 213",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30","0030","0000","목화","67.11","202305","23","165,000","8","1977","여의나루로 126",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30","0030","0000","목화","89.26","202306","30","208,000","5","1977","여의나루로 126",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","37","0037","0000","미성","101.29","202301","11","180,000","9","1978","의사당대로 110","","20230126","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","37","0037","0000","미성","101.29","202301","11","180,000","9","1978","의사당대로 110","20230120"," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","37","0037","0000","미성","162.71","202305","25","298,000","9","1978","의사당대로 110",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","37","0037","0000","미성","162.74","202305","27","280,000","9","1978","의사당대로 110","","20230720","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","37","0037","0000","미성","92.56","202306","9","172,000","5","1978","의사당대로 110",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","37","0037","0000","미성","101.29","202306","19","212,000","9","1978","의사당대로 110","","20230630","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","37","0037","0000","미성","92.56","202306","23","179,000","6","1978","의사당대로 110",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","37","0037","0000","미성","92.56","202307","13","164,000","6","1978","의사당대로 110",""," ","직거래","-"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","106.38","202301","10","200,000","2","1975","국제금융로7길 27",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","77.69","202302","11","170,000","7","1975","국제금융로7길 27","","20230531","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","77.69","202302","11","170,000","7","1975","국제금융로7길 27","20230215"," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","135.8","202303","23","230,000","4","1975","국제금융로7길 27","","20230526","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","92.13","202305","12","180,000","12","1975","국제금융로7길 27","","20230526","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","146.68","202305","16","310,000","11","1975","국제금융로7길 27",""," ","중개거래","서울 강남구, 서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","146.68","202305","22","310,000","6","1975","국제금융로7길 27","20230530"," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","146.68","202305","22","310,000","6","1975","국제금융로7길 27","","20230530","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","92.13","202306","2","195,000","7","1975","국제금융로7길 27",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","92.13","202306","14","205,000","8","1975","국제금융로7길 27",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","135.8","202306","20","255,000","10","1975","국제금융로7길 27",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","135.8","202306","24","270,000","15","1975","국제금융로7길 27",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","92.13","202306","30","215,000","9","1975","국제금융로7길 27",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","92.13","202307","4","214,500","13","1975","국제금융로7길 27",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","21-1","0021","0001","서울","139.31","202306","12","400,000","2","1976","여의나루로 121","","20230630","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","21-1","0021","0001","서울","139.31","202307","12","470,000","11","1976","여의나루로 121",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","32","0032","0000","수정","150.65","202305","10","210,000","1","1976","국제금융로7길 1",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","32","0032","0000","수정","150.65","202305","24","230,500","7","1976","국제금융로7길 1",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","32","0032","0000","수정","150.65","202306","5","240,000","4","1976","국제금융로7길 1",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","32","0032","0000","수정","74.55","202307","11","174,000","4","1976","국제금융로7길 1",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","11-1","0011","0001","순복음(초원)","66.94","202305","23","107,000","5","1971","국회대로76가길 11",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","50","0050","0000","시범","79.24","202301","9","150,000","8","1971","63로 45","","20230427","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","50","0050","0000","시범","118.12","202301","19","204,000","3","1971","63로 45","","20230410","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","50","0050","0000","시범","79.24","202301","26","160,000","4","1971","63로 45","","20230331","중개거래","서울 영등포구"
